id_i,id_j,dist
2.4,3.2,0.80666109
2.4,3.3,0.86708020
2.4,3.4,0.84692452
2.4,3.5,0.83454489
2.4,3.6,0.72051730
2.4,3.7,0.93078266
2.4,3.8,0.88779476
2.4,3.9,0.85793250
2.4,3.10,0.87403610
2.5,2.6,0.62705083
2.5,2.7,0.80844690
2.5,2.8,0.89892413
2.5,2.9,0.67938628
2.5,2.10,0.61528964
2.5,3.1,0.94740254
2.5,3.2,0.97761499
2.5,3.3,0.72068854
2.5,3.4,0.93775650
2.5,3.5,1.07189353
2.5,3.6,0.95550695
2.5,3.7,0.91715836
2.5,3.8,0.89524282
2.5,3.9,0.91460950
2.5,3.10,0.86568797
2.6,2.7,0.79943898
2.6,2.8,0.89642021
2.6,2.9,0.73118395
2.6,2.10,0.61529868
2.6,3.1,0.91101487
2.6,3.2,0.89094567
2.6,3.3,0.71138335
2.6,3.4,0.95833627
2.6,3.5,1.12000590
2.6,3.6,0.93062854
2.6,3.7,0.89529142
2.6,3.8,0.92277079
2.6,3.9,0.96507633
2.6,3.10,0.75179158
2.7,2.8,0.49048282
2.7,2.9,0.76884553
2.7,2.10,0.79951336
2.7,3.1,0.56756091
2.7,3.2,0.83914778
2.7,3.3,0.90025087
2.7,3.4,0.90186902
2.7,3.5,0.82841340
2.7,3.6,0.83755167
2.7,3.7,0.91167520
2.7,3.8,0.95694092
2.7,3.9,0.96705725
2.7,3.10,0.87452261
2.8,2.9,0.88618214
2.8,2.10,0.93858220
2.8,3.1,0.59186136
2.8,3.2,0.88600611
2.8,3.3,0.93002738
2.8,3.4,0.89863955
2.8,3.5,0.73491764
2.8,3.6,0.85145356
2.8,3.7,0.88577723
2.8,3.8,0.87571586
2.8,3.9,0.98574452
2.8,3.10,0.92871740
2.9,2.10,0.65171625
2.9,3.1,0.87219787
2.9,3.2,0.83391666
2.9,3.3,0.71589972
2.9,3.4,0.89536502
2.9,3.5,0.97667057
2.9,3.6,0.80942301
2.9,3.7,0.82745077
2.9,3.8,0.89586086
2.9,3.9,0.85110524
2.9,3.10,0.71826615
2.10,3.1,0.91502590
2.10,3.2,0.88927020
2.10,3.3,0.72484012
2.10,3.4,0.92167096
2.10,3.5,1.11598537
2.10,3.6,0.88024081
2.10,3.7,0.85526755
2.10,3.8,0.92936138
2.10,3.9,0.87589450
2.10,3.10,0.72778904
3.1,3.2,0.60583810
3.1,3.3,0.60302572
3.1,3.4,0.45731519
3.1,3.5,0.45661623
3.1,3.6,0.55412161
3.1,3.7,0.60649526
3.1,3.8,0.64675628
3.1,3.9,0.68331768
3.1,3.10,0.63518116
3.2,3.3,0.57940789
3.2,3.4,0.66836332
3.2,3.5,0.66388627
3.2,3.6,0.50304487
3.2,3.7,0.56156789
3.2,3.8,0.58165017
3.2,3.9,0.53961923
3.2,3.10,0.49896462
3.3,3.4,0.64269391
3.3,3.5,0.72094819
3.3,3.6,0.66421927
3.3,3.7,0.59801171
3.3,3.8,0.57812687
3.3,3.9,0.66829211
3.3,3.10,0.54791256
3.4,3.5,0.44780233
3.4,3.6,0.50579441
3.4,3.7,0.73705328
3.4,3.8,0.69433927
3.4,3.9,0.67075965
3.4,3.10,0.57002057
3.5,3.6,0.57003521
3.5,3.7,0.74964204
3.5,3.8,0.66430234
3.5,3.9,0.71800732
3.5,3.10,0.71835030
3.6,3.7,0.70183671
3.6,3.8,0.66792613
3.6,3.9,0.54992423
3.6,3.10,0.46628786
3.7,3.8,0.54406463
3.7,3.9,0.51768653
3.7,3.10,0.59419098
3.8,3.9,0.39946649
3.8,3.10,0.64602137
3.9,3.10,0.62636864
