run_dir,pred_file,true_file,n,ARI,Purity
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p25drop_rep2\labels.csv,128,0.495765,0.734375
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep0\labels.csv,128,0.319397,0.617188
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep1\labels.csv,128,0.431100,0.726562
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p50drop_rep2\labels.csv,128,0.484525,0.757812
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep0\labels.csv,128,0.113133,0.445312
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep1\labels.csv,128,0.082953,0.421875
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev60_p75drop_rep2\labels.csv,128,0.312002,0.562500
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep0\labels.csv,128,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep1\labels.csv,128,0.979000,0.992188
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p0drop_rep2\labels.csv,128,0.958687,0.984375
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep0\labels.csv,128,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep1\labels.csv,128,0.979000,0.992188
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p10drop_rep2\labels.csv,128,0.776406,0.906250
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep0\labels.csv,128,0.979000,0.992188
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep1\labels.csv,128,0.979000,0.992188
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p25drop_rep2\labels.csv,128,0.676654,0.859375
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep0\labels.csv,128,0.779297,0.898438
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep1\labels.csv,128,0.787952,0.914062
